timestamp,open,high,low,close,volume
2023-05-05,123.1100,124.1000,122.8050,123.6500,4971936
2023-05-04,123.0300,123.5200,121.7563,122.5700,4468237
2023-05-03,125.4600,125.5700,123.2600,123.4500,4554212
2023-05-02,126.3000,126.4500,123.2700,125.1600,4445283
2023-05-01,126.3500,126.7500,126.0600,126.0900,2724992
2023-04-28,126.5800,127.2500,125.6400,126.4100,5061247
2023-04-27,126.3700,127.0200,125.4550,126.9700,3204889
2023-04-26,125.8100,126.5450,125.1200,125.8500,4058800
2023-04-25,124.9000,126.1900,124.7600,125.8900,4275396
2023-04-24,125.5500,126.0500,124.5600,125.4000,4043892
2023-04-21,126.0000,126.7000,125.2700,125.7300,6725426
2023-04-20,130.1500,130.9800,125.8400,126.3600,9749618
2023-04-19,126.5000,126.9800,125.3000,126.3200,7014368
2023-04-18,128.1400,128.6800,127.3500,127.7800,3193787
2023-04-17,128.3000,128.7200,126.8000,127.8200,3657929
2023-04-14,128.4600,129.8400,127.3100,128.1400,4180614
2023-04-13,128.0100,128.3900,126.0000,127.9000,5621512
2023-04-12,130.4000,130.8857,128.1700,128.5400,3957542
2023-04-11,130.5800,131.1050,130.1800,130.4200,3132430
2023-04-10,129.8300,131.0800,129.2400,131.0300,2614402
2023-04-06,132.1600,132.6000,130.3150,130.5000,3050581
2023-04-05,131.3700,132.6100,131.3700,132.1400,2898759
2023-04-04,131.9900,132.1499,130.8900,131.6000,3382783
2023-04-03,130.9700,132.6100,130.7700,132.0600,3840139
2023-03-31,129.4700,131.2300,129.4200,131.0900,4524686
2023-03-30,130.1600,131.4800,129.1000,129.2200,3561762
2023-03-29,130.1200,130.3500,129.1800,129.7100,3279846
2023-03-28,129.1800,129.6600,128.8000,129.3400,2889115
2023-03-27,126.4700,130.2550,126.4700,129.3100,6524113
2023-03-24,123.3600,125.4000,122.8800,125.2900,3812644
2023-03-23,123.8100,124.9300,122.6000,123.3700,4651936
2023-03-22,127.0000,127.2150,124.0100,124.0500,3549024
2023-03-21,126.9000,127.1500,125.6600,126.5700,3856345
2023-03-20,124.3100,126.1600,124.1900,125.9400,4588304
2023-03-17,124.0800,124.5200,122.9300,123.6900,37400167
2023-03-16,122.9600,124.8200,121.9200,124.7000,6440023
2023-03-15,122.9900,123.3500,121.7100,123.2800,5989339
2023-03-14,126.4900,126.6400,123.2000,124.6500,8114792
2023-03-13,125.1500,128.1900,124.8500,125.5800,8188369
2023-03-10,126.1200,127.2900,125.1300,125.4500,5990867
2023-03-09,128.3000,128.5300,125.9800,126.1600,5478317
2023-03-08,128.4800,128.7400,127.5450,128.0500,2778798
2023-03-07,130.2800,130.4200,128.1900,128.2500,3530439
2023-03-06,129.6400,130.8600,129.5900,130.1900,2982980
2023-03-03,129.3500,129.9050,128.7700,129.6400,2860286
2023-03-02,128.3900,129.2200,127.7100,128.9300,3340254
2023-03-01,128.9000,129.4726,127.7400,128.1900,3760678
2023-02-28,130.5500,130.6100,129.1400,129.3000,5143133
2023-02-27,131.4200,131.8700,130.1300,130.4900,2761326
2023-02-24,129.6200,130.6700,129.2200,130.5700,3015907
2023-02-23,131.5000,131.7000,128.8600,130.7900,3725648
2023-02-22,131.9000,131.9900,130.2900,130.9700,3200185
2023-02-21,134.0000,134.3850,131.6600,131.7100,4257210
2023-02-17,134.5000,135.5800,133.8900,135.0200,3466184
2023-02-16,135.5700,135.9672,134.5900,135.0000,2965495
2023-02-15,135.2000,136.4450,135.0700,136.4000,2507004
2023-02-14,137.0500,137.2400,135.0500,136.0100,3202172
2023-02-13,136.0000,137.3900,135.8500,137.3500,4403015
2023-02-10,133.7800,135.7700,133.5000,135.6000,5049571
2023-02-09,134.9900,135.7300,133.3400,133.7500,3918817
2023-02-08,135.7100,136.7400,135.1600,135.9800,4593748
2023-02-07,135.6700,136.4000,134.4500,135.8400,3737553
2023-02-06,135.8300,136.3200,134.9500,136.1800,4841300
2023-02-03,136.3500,136.9500,135.5300,136.9400,3755720
2023-02-02,135.9600,136.7200,134.8500,136.3900,6107793
2023-02-01,134.4900,135.7900,132.8000,135.0900,5428898
2023-01-31,135.5000,135.6500,133.7600,134.7300,7206448
2023-01-30,134.3200,136.1100,133.9800,135.3000,5375712
2023-01-27,134.4400,135.4880,133.7701,134.3900,8143146
2023-01-26,137.5300,138.2700,132.9800,134.4500,17548483
2023-01-25,140.4700,141.0300,139.3600,140.7600,7347453
2023-01-24,141.2500,142.7500,140.0000,141.4900,4407622
2023-01-23,141.4000,142.9850,141.0600,141.8600,5898436
2023-01-20,141.6700,141.8600,140.5100,141.2000,7153341
2023-01-19,140.0000,142.2300,139.7500,140.6200,4833924
2023-01-18,144.4000,144.6780,140.2250,140.4100,6445642
